taxonomy_degree	taxonomy	tax_study
class	Coccidia	root:Engineered:2|root:Environmental:2|root:Host-associated:9
class	Collembola	root:Environmental:5|root:Host-associated:4
class	Colpodea	root:Engineered:3|root:Environmental:3
class	Compsopogonophyceae	root:Environmental:1
class	Conoidasida	root:Environmental:1|root:Host-associated:3
class	Coriobacteriia	root:Engineered:29|root:Environmental:24|root:Host-associated:415
class	Coscinodiscophyceae	root:Engineered:1|root:Environmental:145|root:Host-associated:1|root:Mixed:1
class	Cryptophyceae	root:Environmental:2
class	Cryptophyta	root:Environmental:65|root:Mixed:1|root:Environmental:10|root:Host-associated:2
class	Cubozoa	root:Mixed:1
class	Cystobasidiomycetes	root:Host-associated:2
class	Cytophagia	root:Engineered:50|root:Environmental:417|root:Host-associated:82|root:Mixed:10
class	DA052	root:Engineered:2|root:Environmental:48|root:Host-associated:7
class	DSEG	root:Engineered:1|root:Environmental:2
class	Deferribacteres	root:Engineered:2|root:Environmental:5|root:Host-associated:52|root:Engineered:3|root:Environmental:6|root:Host-associated:101
class	Dehalococcoidetes	root:Environmental:14|root:Host-associated:1
class	Dehalococcoidia	root:Engineered:5|root:Environmental:291|root:Host-associated:13|root:Mixed:4|root:NA:1
class	Deinococci	root:Engineered:57|root:Environmental:68|root:Host-associated:20|root:Mixed:4
class	Deltaproteobacteria	root:Engineered:237|root:Environmental:1351|root:Host-associated:444|root:Mixed:21|root:NA:1
class	Demospongiae	root:Engineered:1|root:Environmental:8|root:Host-associated:7
class	Dictyochophyceae	root:Environmental:28
class	Dictyoglomia	root:Engineered:1|root:Environmental:2
class	Dinophyceae	root:Engineered:1|root:Environmental:315|root:Host-associated:10|root:Mixed:2
class	Dothideomycetes	root:Engineered:9|root:Environmental:23|root:Host-associated:45
class	Echinamoebida	root:Environmental:1
class	Echinoidea	root:Environmental:3|root:Host-associated:1
class	Elardia	root:Environmental:1
class	Ellin6529	root:Engineered:1|root:Environmental:28|root:Host-associated:2
class	Elusimicrobia	root:Environmental:15|root:Host-associated:4|root:Engineered:6|root:Environmental:38|root:Host-associated:59
class	Endogonomycetes	root:Host-associated:1
class	Endomicrobia	root:Engineered:2
class	Enopla	root:Environmental:2|root:Host-associated:1
class	Enoplea	root:Environmental:15
class	Entomophthoromycetes	root:Environmental:1|root:Host-associated:1
class	Epsilonproteobacteria	root:Engineered:63|root:Environmental:260|root:Host-associated:195|root:Mixed:4
class	Erysipelotrichi	root:Engineered:15|root:Environmental:9|root:Host-associated:170
class	Erysipelotrichia	root:Engineered:28|root:Environmental:17|root:Host-associated:336|root:Mixed:1
class	Eudicotyledonae	root:Environmental:1|root:Host-associated:3
class	Euglenozoa cls Incertae sedis	root:Environmental:1
class	Eurotiomycetes	root:Engineered:11|root:Environmental:26|root:Host-associated:17
class	Eutardigrada	root:Engineered:4|root:Host-associated:1
class	Exobasidiomycetes	root:Environmental:3|root:Host-associated:5
class	Fibrobacteria	root:Engineered:4|root:Environmental:5|root:Host-associated:78
class	Fimbriimonadia	root:Engineered:1|root:Environmental:1|root:Mixed:1
