taxonomy_degree	taxonomy	tax_study
family	Ktedonobacteraceae	root:Environmental:18|root:Host-associated:3|root:Mixed:2
family	Kudoidae	root:Engineered:1
family	LD19	root:Environmental:7
family	Labilitrichaceae	root:Engineered:2
family	Labyrinthulaceae	root:Environmental:1
family	Lachnidae	root:Host-associated:1
family	Lachnospiraceae	root:Engineered:95|root:Environmental:57|root:Host-associated:653|root:Mixed:6
family	Lacrymariidae	root:Environmental:2
family	Lactariidae	root:Environmental:1
family	Lactobacillaceae	root:Engineered:85|root:Environmental:27|root:Host-associated:276|root:Mixed:2
family	Laminariaceae	root:Engineered:1|root:Environmental:3
family	Latridiidae	root:Environmental:1
family	Lauderiaceae	root:Environmental:1
family	Lecudinidae	root:Environmental:2
family	Leegaardiellidae	root:Environmental:2
family	Legeriomycetaceae	root:Environmental:1
family	Legionellaceae	root:Engineered:4|root:Environmental:12|root:Host-associated:3
family	Lentimicrobiaceae	root:Engineered:16|root:Environmental:38|root:Host-associated:2
family	Lentisphaeraceae	root:Environmental:4|root:Host-associated:1
family	Leotiaceae	root:Host-associated:2
family	Lepidodasyidae	root:Environmental:1
family	Leptocylindraceae	root:Environmental:8
family	Leptodoridae	root:Environmental:1
family	Leptolyngbyaceae	root:Environmental:13
family	Leptophryidae	root:Environmental:1
family	Leptospiraceae	root:Engineered:6|root:Environmental:1|root:Host-associated:1
family	Leptospirillaceae	root:Environmental:1
family	Leptotrichiaceae	root:Engineered:2|root:Environmental:5|root:Host-associated:107
family	Leuconostocaceae	root:Engineered:45|root:Environmental:5|root:Host-associated:17
family	Leucosporidiaceae	root:Host-associated:1
family	Lewinellaceae	root:Engineered:1|root:Environmental:15|root:Host-associated:6|root:Mixed:1
family	Lichtheimiaceae	root:Engineered:2
family	Liliaceae	root:Host-associated:1
family	Limacinidae	root:Environmental:1
family	Limidae	root:Environmental:1
family	Limnochordaceae	root:Engineered:1
family	Limnocytheridae	root:Environmental:1
family	Lineidae	root:Environmental:2
family	Listeriaceae	root:Engineered:13|root:Environmental:3|root:Host-associated:1
family	Litheliidae	root:Environmental:4|root:Host-associated:1
family	Lithodesmiaceae	root:Environmental:1
family	Litonotidae	root:Environmental:2
family	Litoricolaceae	root:Environmental:5|root:Mixed:1
family	Lobulomycetaceae	root:Environmental:3
family	Longidoridae	root:Environmental:1
family	Lophodiniaceae	root:Environmental:6|root:Host-associated:1
family	Loxocephalidae	root:Environmental:1
family	Loxoconchidae	root:Environmental:2
family	Loxosomatidae	root:Environmental:1
family	Lulworthiaceae	root:Environmental:1
family	Lynnellidae	root:Environmental:2
family	Lyophyllaceae	root:Environmental:1
family	ML1228J-1	root:Engineered:1
family	ML635J-40	root:Engineered:1|root:Environmental:1
family	MND4	root:Environmental:2
family	MSB-4E2	root:Environmental:1
family	MSBL1	root:Environmental:4
family	MSBL8	root:Environmental:1
family	MSP41	root:Environmental:6
family	Magnetococcaceae	root:Environmental:2
family	Malasseziaceae	root:Environmental:13|root:Host-associated:7|root:Mixed:3
family	Malawimonadidae	root:Host-associated:1
family	Mallomonadaceae	root:Environmental:1
family	Malvaceae	root:Engineered:1|root:Environmental:3|root:Host-associated:14
family	Mamiellaceae	root:Control:1|root:Environmental:55|root:Host-associated:3
family	Marine group II	root:Control:1|root:Environmental:5|root:Host-associated:2
family	Marine group III	root:Environmental:2
family	MarinegroupII	root:Environmental:16|root:Host-associated:1
family	MarinegroupIII	root:Environmental:1
family	Marinifilaceae	root:Engineered:1|root:Environmental:15
family	Marinilabiaceae	root:Engineered:5|root:Host-associated:3
family	Marinilabiliaceae	root:Environmental:15|root:Host-associated:2|root:Mixed:1
family	Mariprofundaceae	root:Environmental:12|root:Host-associated:1
family	Marsupiomonadaceae	root:Environmental:2
family	Mastogloiaceae	root:Environmental:1
family	Melioribacteraceae	root:Environmental:2
family	Melosiraceae	root:Host-associated:1
family	Membraniporidae	root:Environmental:1
family	Merismopediaceae	root:Environmental:2|root:Host-associated:6
family	Mertensiidae	root:Environmental:1
family	Merulinidae	root:Environmental:1|root:Host-associated:8
family	Mesoaciditogaceae	root:Environmental:3
family	Mesodiniidae	root:Environmental:15
family	Methanobacteriaceae	root:Engineered:56|root:Environmental:41|root:Host-associated:40|root:Mixed:2
family	Methanocalculaceae	root:Environmental:3
family	Methanocaldococcaceae	root:Engineered:1|root:Environmental:6
family	Methanocellaceae	root:Environmental:17
family	Methanococcaceae	root:Engineered:3|root:Environmental:18
family	Methanocorpusculaceae	root:Engineered:5|root:Environmental:4|root:Host-associated:8|root:Mixed:1
family	Methanomassiliicoccaceae	root:Engineered:6|root:Environmental:18|root:Host-associated:2
family	Methanomicrobiaceae	root:Engineered:40|root:Environmental:22|root:Host-associated:2
family	Methanoregulaceae	root:Engineered:19|root:Environmental:47|root:Host-associated:1|root:Mixed:1
family	Methanosaetaceae	root:Engineered:16|root:Environmental:54|root:Host-associated:3|root:Mixed:1
family	Methanosarcinaceae	root:Engineered:33|root:Environmental:72|root:Host-associated:5|root:Mixed:1
family	Methanospirillaceae	root:Engineered:8|root:Environmental:9|root:Mixed:1
family	Methanothermaceae	root:Environmental:1
family	Methermicoccaceae	root:Environmental:8
family	Methylobacteriaceae	root:Engineered:10|root:Environmental:28|root:Host-associated:19|root:Mixed:2
family	Methylococcaceae	root:Engineered:5|root:Environmental:37|root:Host-associated:2
family	Methylocystaceae	root:Engineered:4|root:Environmental:20|root:Host-associated:5
family	Methylomirabiliaceae	root:Engineered:1|root:Environmental:1
family	Methylophilaceae	root:Engineered:16|root:Environmental:55|root:Host-associated:4
family	Methylothermaceae	root:Environmental:1
family	Metridinidae	root:Environmental:10
family	Metschnikowiaceae	root:Engineered:2|root:Environmental:3
family	Microascaceae	root:Environmental:3
family	Microbacteriaceae	root:Engineered:55|root:Environmental:187|root:Host-associated:52
family	Microbotryaceae	root:Engineered:1|root:Host-associated:2
family	Microbulbiferaceae	root:Environmental:5|root:Host-associated:1
family	Microcionidae	root:Host-associated:1
family	Micrococcaceae	root:Engineered:17|root:Environmental:80|root:Host-associated:142|root:Mixed:6
family	Microcoleaceae	root:Engineered:1|root:Environmental:14|root:Host-associated:1
family	Microcystaceae	root:Engineered:1|root:Environmental:6
family	Microlaimidae	root:Environmental:1
family	Micromonosporaceae	root:Engineered:5|root:Environmental:48|root:Host-associated:11|root:Mixed:1
family	Micropepsaceae	root:Engineered:2|root:Environmental:13|root:Host-associated:5|root:Mixed:1
family	Microscillaceae	root:Engineered:5|root:Environmental:22|root:Host-associated:3|root:Mixed:1
family	Microstomidae	root:Environmental:2
family	Microstromatales fam Incertae sedis	root:Host-associated:1
family	Microthrixaceae	root:Engineered:13|root:Host-associated:1
family	Miraciidae	root:Environmental:2
family	Monhysteridae	root:Environmental:1
family	Monocystidae	root:Environmental:1
family	Monodopsidaceae	root:Environmental:2
family	Monomastigaceae	root:Environmental:1
family	Monotoplanidae	root:Environmental:1
family	Moraxellaceae	root:Control:1|root:Engineered:97|root:Environmental:199|root:Host-associated:145|root:Mixed:11
family	Morganellaceae	root:Engineered:2|root:Environmental:2|root:Host-associated:10
family	Moritellaceae	root:Environmental:14|root:Host-associated:2|root:Mixed:1
family	Mortierellaceae	root:Environmental:6|root:Host-associated:5
family	Mrakiaceae	root:Engineered:1|root:Environmental:1|root:Host-associated:6
family	Mucoraceae	root:Engineered:2
family	Mucoromycotina fam Incertae sedis	root:Environmental:1
family	Muribaculaceae	root:Engineered:3|root:Environmental:7|root:Host-associated:95
family	Mycobacteriaceae	root:Engineered:27|root:Environmental:72|root:Host-associated:25
family	Mycoplasmataceae	root:Engineered:1|root:Environmental:5|root:Host-associated:38|root:Mixed:1
family	Mycosphaerellaceae	root:Environmental:1|root:Host-associated:3
family	Myidae	root:Host-associated:1
family	Myrtaceae	root:Host-associated:1
family	Mysidae	root:Environmental:1
family	Mytilidae	root:Environmental:1
family	Myxochloridaceae	root:Environmental:1
family	Myxococcaceae	root:Environmental:7|root:Host-associated:2
family	Myxotrichaceae	root:Environmental:2|root:Host-associated:1
family	NB1-i	root:Environmental:4|root:Host-associated:1
family	NS11-12	root:Environmental:1
family	NS9	root:Environmental:4
family	Nannocystaceae	root:Engineered:4|root:Environmental:9|root:Host-associated:1|root:NA:1
family	Nanoarchaeaceae	root:Environmental:1
family	Nanopusillaceae	root:Environmental:6
family	Natrialbaceae	root:Environmental:16|root:Mixed:1
family	Nautiliaceae	root:Engineered:1|root:Environmental:14
family	Naviculaceae	root:Environmental:2
family	Neanuridae	root:Host-associated:1
family	Nectriaceae	root:Engineered:3|root:Environmental:2|root:Host-associated:8
family	Neisseriaceae	root:Engineered:14|root:Environmental:6|root:Host-associated:171|root:Mixed:1
family	Nemertodermatidae	root:Engineered:1|root:Host-associated:4
family	Neocallimastigaceae	root:Host-associated:2
family	Neolectaceae	root:Host-associated:4
family	Nephroselmidaceae	root:Environmental:1
family	Nereididae	root:Environmental:2
family	Nerillidae	root:Environmental:1
family	Nitriliruptoraceae	root:Environmental:9|root:Host-associated:1
family	Nitrosomonadaceae	root:Engineered:20|root:Environmental:116|root:Host-associated:7|root:Mixed:5
family	Nitrosopumilaceae	root:Engineered:4|root:Environmental:296|root:Host-associated:12|root:Mixed:2|root:NA:1
family	Nitrososphaeraceae	root:Engineered:4|root:Environmental:124|root:Host-associated:38
family	Nitrospinaceae	root:Engineered:1|root:Environmental:113|root:Host-associated:3|root:NA:1
family	Nitrospiraceae	root:Engineered:30|root:Environmental:60|root:Host-associated:7
family	Nocardiaceae	root:Engineered:15|root:Environmental:44|root:Host-associated:10|root:Mixed:2
family	Nocardioidaceae	root:Engineered:17|root:Environmental:145|root:Host-associated:58
family	Nocardiopsaceae	root:Engineered:3|root:Environmental:3|root:Host-associated:2
family	Noctilucaceae	root:Environmental:8|root:Host-associated:1
family	Noelaerhabdaceae	root:Environmental:14|root:Host-associated:2
family	Nonionidae	root:Environmental:3
family	Nostocaceae	root:Environmental:22|root:Host-associated:2
family	Nucleariidae	root:Environmental:1
family	Nummulitidae	root:Environmental:3
family	OCS155	root:Environmental:17
family	OM182	root:Environmental:1
family	OM27	root:Engineered:1|root:Environmental:1
family	OM60	root:Engineered:1|root:Environmental:31|root:Host-associated:3
family	Oceanospirillaceae	root:Engineered:15|root:Environmental:161|root:Host-associated:21
family	Ochromonadaceae	root:Environmental:1
family	Odontellidae	root:Environmental:1
family	Odoribacteraceae	root:Host-associated:41
family	Oikopleuridae	root:Environmental:32|root:Host-associated:1
family	Oithonidae	root:Environmental:3
family	Oleaceae	root:Engineered:2|root:Host-associated:6
family	Oleiphilaceae	root:Engineered:1|root:Environmental:10
family	Oligoflexaceae	root:Engineered:1|root:Environmental:2|root:Host-associated:1
family	Oligosphaeraceae	root:Environmental:1
family	Olpidiaceae	root:Environmental:1
family	Oltmannsiellopsidaceae	root:Environmental:1
family	Onchidiidae	root:Environmental:1
family	Oncholaimidae	root:Environmental:7
family	Oodiniaceae	root:Environmental:1
family	Opegraphaceae	root:Environmental:1
family	Ophiocordycipitaceae	root:Environmental:1
family	Ophiostomataceae	root:Environmental:2
family	Ophryoscolecidae	root:Environmental:1|root:Host-associated:8
family	Opitutaceae	root:Engineered:16|root:Environmental:42|root:Host-associated:10
family	Orbaceae	root:Host-associated:3
family	Orbiliaceae	root:Host-associated:1
family	Orchidaceae	root:Engineered:1
family	Orchitophryidae	root:Environmental:1
family	Orobanchaceae	root:Host-associated:1
family	Oscillatoriaceae	root:Engineered:9|root:Environmental:5|root:Mixed:1
family	Oscillochloridaceae	root:Engineered:1|root:Environmental:1
family	Oscillospiraceae	root:Engineered:4|root:Environmental:5|root:Host-associated:113|root:Mixed:1
family	Ostropomycetidae fam Incertae sedis	root:Host-associated:1
family	Oweniidae	root:Environmental:1
family	Oxalobacteraceae	root:Engineered:35|root:Environmental:151|root:Host-associated:64|root:Mixed:2
family	Oxyrrhinaceae	root:Environmental:2
family	Oxystominidae	root:Environmental:1
family	Oxytrichidae	root:Engineered:1|root:Environmental:3
family	PRR-10	root:Environmental:2|root:Host-associated:1
family	Paenibacillaceae	root:Engineered:63|root:Environmental:50|root:Host-associated:21
family	Palaemonidae	root:Environmental:1
family	Paludibacteraceae	root:Engineered:12|root:Environmental:7|root:Host-associated:4
family	Pandeidae	root:Environmental:1
family	Paracalanidae	root:Environmental:8
family	Parachlamydiaceae	root:Environmental:4
family	Paraliaceae	root:Environmental:1
family	Parameciidae	root:Mixed:1
family	Paraphysomonadaceae	root:Environmental:4
family	Parmeliaceae	root:Host-associated:1
family	Parvularculaceae	root:Engineered:2|root:Environmental:2|root:Host-associated:1
family	Pasteurellaceae	root:Engineered:8|root:Environmental:1|root:Host-associated:178|root:Mixed:9
family	Patulibacteraceae	root:Engineered:1|root:Environmental:2
family	Paulinellidae	root:Environmental:3
family	Pavlovaceae	root:Mixed:1
family	Paxillaceae	root:Environmental:1
family	Pectobacteriaceae	root:Engineered:2|root:Environmental:1|root:Host-associated:3
family	Pedinomonadaceae	root:Environmental:1
family	Pelagibacteraceae	root:Control:1|root:Engineered:6|root:Environmental:226|root:Host-associated:9|root:NA:1
family	Pelagiidae	root:Environmental:1
family	Pelobacteraceae	root:Engineered:2|root:Environmental:6
family	Peltidiidae	root:Environmental:1
family	Peniophoraceae	root:Host-associated:2
family	Peptococcaceae	root:Engineered:45|root:Environmental:44|root:Host-associated:5|root:Mixed:1
family	Peptoniphilaceae	root:Engineered:10|root:Environmental:3|root:Host-associated:61|root:Mixed:1
family	Peptostreptococcaceae	root:Engineered:21|root:Environmental:25|root:Host-associated:126|root:Mixed:1
family	Peridiniaceae	root:Environmental:6
family	Perkinsidae	root:Environmental:5
family	Peronosporaceae	root:Engineered:3|root:Environmental:4|root:Host-associated:3
family	Petrotogaceae	root:Engineered:1
family	Pfiesteriaceae	root:Environmental:1|root:NA:1
family	Phaeocystaceae	root:Environmental:35
family	Phaeodactylaceae	root:Environmental:2
family	Phaffomycetaceae	root:Environmental:2
family	Phanerochaetaceae	root:Environmental:1
family	Phanodermatidae	root:Environmental:1
family	Pharidae	root:Environmental:1
family	Pholadidae	root:Host-associated:1
family	Phormidiaceae	root:Engineered:1|root:Environmental:12|root:Host-associated:2
family	Phycisphaeraceae	root:Engineered:6|root:Environmental:109|root:Host-associated:4|root:Mixed:1
family	Phyllobacteriaceae	root:Engineered:21|root:Environmental:42|root:Host-associated:15|root:Mixed:1
family	Phyllostauridae	root:Environmental:1
family	Physciaceae	root:Environmental:2
family	Pichiaceae	root:Engineered:5|root:Environmental:2
family	Picomonadidae	root:Environmental:10
family	Picrophilaceae	root:Engineered:1|root:Environmental:5|root:Host-associated:1
family	Pilargidae	root:Environmental:1
family	Pinaceae	root:Environmental:2|root:Host-associated:2
family	Pirellulaceae	root:Engineered:7|root:Environmental:60|root:Host-associated:18
family	Piscirickettsiaceae	root:Engineered:3|root:Environmental:162|root:Host-associated:9
family	Piskurozymaceae	root:Engineered:1|root:Environmental:1
family	Pithophoraceae	root:Host-associated:5
family	Placorhynchidae	root:Environmental:1
family	Plagiacanthidae	root:Environmental:2
family	Plagoniidae	root:Environmental:4
family	Planctomycetaceae	root:Engineered:20|root:Environmental:146|root:Host-associated:15|root:Mixed:1
family	Planococcaceae	root:Engineered:21|root:Environmental:50|root:Host-associated:28
family	Planomonadidae	root:Environmental:3
family	Plasmodiophoridae	root:Environmental:3
family	Platyophryidae	root:Engineered:3
family	Plectonemertidae	root:Environmental:1
family	Plectosphaerellaceae	root:Environmental:5
family	Pleosporaceae	root:Host-associated:2
family	Plesiotrichopidae	root:Environmental:1
family	Pleurobrachiidae	root:Environmental:2|root:Host-associated:1
family	Pleuronematidae	root:Environmental:1
family	Pleurotaceae	root:Host-associated:1
family	Pliciloricidae	root:Environmental:1
family	Poaceae	root:Engineered:15|root:Environmental:12|root:Host-associated:68|root:Mixed:1
family	Polyangiaceae	root:Engineered:4|root:Environmental:13|root:Host-associated:5
family	Polyclinidae	root:Environmental:1
family	Polycystididae	root:Environmental:3
family	Polygonaceae	root:Environmental:1|root:Host-associated:4
family	Polynoidae	root:Environmental:2
family	Pomacanthidae	root:Engineered:1
family	Pontellidae	root:Environmental:3
family	Poritidae	root:Host-associated:1
family	Porphyromonadaceae	root:Engineered:56|root:Environmental:20|root:Host-associated:178|root:Mixed:2
family	Porticoccaceae	root:Environmental:165|root:Host-associated:6
family	Prevotellaceae	root:Engineered:29|root:Environmental:28|root:Host-associated:582|root:Mixed:5
family	Procabacteriaceae	root:Environmental:4
family	Prochloraceae	root:Environmental:37|root:Host-associated:1|root:Mixed:1
family	Prolixibacteraceae	root:Engineered:3|root:Environmental:58
family	Promesostomidae	root:Environmental:1
family	Promicromonosporaceae	root:Environmental:3|root:Host-associated:6
family	Propionibacteriaceae	root:Engineered:30|root:Environmental:38|root:Host-associated:62|root:Mixed:4
family	Prorhynchidae	root:Environmental:1
family	Prorocentraceae	root:Engineered:1|root:Environmental:21
family	Prorodontidae	root:Environmental:2
family	Protaspidae	root:Environmental:1
family	Protodrilidae	root:Environmental:1
family	Protoperidiniaceae	root:Environmental:9
family	Prymnesiaceae	root:Environmental:15|root:Host-associated:2
family	Pseudanabaenaceae	root:Engineered:3|root:Environmental:27
family	Pseudeurotiaceae	root:Environmental:2|root:Host-associated:4
family	Pseudoalteromonadaceae	root:Engineered:10|root:Environmental:144|root:Host-associated:20
family	Pseudocohnilembidae	root:Environmental:2
family	Pseudomonadaceae	root:Control:1|root:Engineered:133|root:Environmental:330|root:Host-associated:180|root:Mixed:10
family	Pseudonocardiaceae	root:Engineered:14|root:Environmental:38|root:Host-associated:33
family	Pseudoparrellidae	root:Environmental:3
family	Psychromonadaceae	root:Engineered:3|root:Environmental:16|root:Host-associated:3|root:Mixed:1
family	Pterocorythidae	root:Environmental:1
family	Ptilidiaceae	root:Host-associated:1
family	Ptychodiscaceae	root:Environmental:2
family	Pucciniaceae	root:Engineered:1|root:Host-associated:7
family	Pulleniatinidae	root:Environmental:2
family	Puniceicoccaceae	root:Engineered:1|root:Environmental:125|root:Host-associated:3
family	Pycnococcaceae	root:Environmental:4
family	Pyrinomonadaceae	root:Engineered:1|root:Environmental:37|root:Host-associated:5|root:Mixed:3
family	Pyrodictiaceae	root:Environmental:4
family	Pyronemataceae	root:Environmental:2|root:Host-associated:1
family	Pyrophacaceae	root:Environmental:1
family	Pythiaceae	root:Environmental:1
family	R4-41B	root:Engineered:1
family	RB40	root:Environmental:5
family	RF16	root:Engineered:1|root:Host-associated:7
family	RFP12	root:Host-associated:12
family	Ramalinaceae	root:Host-associated:1
family	Ranunculaceae	root:Host-associated:1
family	Raspailiidae	root:Engineered:1
family	Reophacidae	root:Environmental:4
family	Reticulascaceae	root:Host-associated:2
family	Rhabditidae	root:Engineered:3|root:Environmental:3
family	Rhabdochlamydiaceae	root:Environmental:2
family	Rhaphoneidaceae	root:Environmental:1
family	Rhizinaceae	root:Environmental:1
family	Rhizobiaceae	root:Engineered:18|root:Environmental:38|root:Host-associated:52
family	Rhizophydiaceae	root:Environmental:1
family	Rhizopodaceae	root:Engineered:1|root:Environmental:1
family	Rhizosoleniaceae	root:Environmental:10
family	Rhizosphaeridae	root:Environmental:1
family	Rhodanobacteraceae	root:Engineered:23|root:Environmental:17|root:Host-associated:14
family	Rhodobacteraceae	root:Control:1|root:Engineered:98|root:Environmental:931|root:Host-associated:100|root:Mixed:16
family	Rhodobiaceae	root:Engineered:1|root:Environmental:8|root:Host-associated:1
family	Rhodocyclaceae	root:Engineered:55|root:Environmental:84|root:Host-associated:12
family	Rhodomelaceae	root:Environmental:2|root:Host-associated:1
family	Rhodospirillaceae	root:Engineered:21|root:Environmental:282|root:Host-associated:58|root:Mixed:6
family	Rhodothermaceae	root:Engineered:27|root:Environmental:38|root:Host-associated:8|root:Mixed:2
family	Rhopalonematidae	root:Environmental:1|root:Host-associated:1
family	Rhynchogastremataceae	root:Engineered:1|root:Host-associated:1
family	Rhytismataceae	root:Host-associated:4
family	Rickettsiaceae	root:Engineered:1|root:Environmental:4|root:Host-associated:6
family	Rikenellaceae	root:Engineered:26|root:Environmental:22|root:Host-associated:357|root:Mixed:3
family	Rivulariaceae	root:Environmental:4|root:Host-associated:1
family	Roseiarcaceae	root:Environmental:5|root:Host-associated:1
family	Roseiflexaceae	root:Environmental:7|root:Host-associated:2|root:Mixed:2
family	Rotaliidae	root:Environmental:2
family	Rubritaleaceae	root:Environmental:22|root:Host-associated:9
family	Rubrobacteraceae	root:Engineered:10|root:Environmental:31|root:Host-associated:6|root:Mixed:2
family	Ruminococcaceae	root:Engineered:171|root:Environmental:98|root:Host-associated:617|root:Mixed:5
family	Russulaceae	root:Environmental:3|root:Host-associated:5
family	Rutaceae	root:Environmental:1
family	S24-7	root:Engineered:2|root:Environmental:3|root:Host-associated:78
family	S25 1238	root:Environmental:3
family	S47	root:Environmental:1
family	SAGMA-X	root:Environmental:19|root:Host-associated:3
family	SAR324	root:Environmental:12
family	SB-1	root:Engineered:2|root:Environmental:2
family	SC3-41	root:Host-associated:1
family	SHA-31	root:Engineered:1|root:Environmental:1
family	SHAS460	root:Host-associated:1
family	SJA-101	root:Environmental:1
family	SK322	root:Environmental:1
family	SM1B02	root:Environmental:1
family	SUP05	root:Environmental:16
family	Sabellariidae	root:Environmental:1
family	Sabellidae	root:Environmental:1
family	Sabiaceae	root:Environmental:1
family	Saccharomycetaceae	root:Engineered:5|root:Environmental:1|root:Host-associated:6
family	Saccharomycetales fam Incertae sedis	root:Host-associated:1
family	Saccharomycodaceae	root:Engineered:2
family	Saccharomycopsidaceae	root:Engineered:1|root:Environmental:1
family	Saccharospirillaceae	root:Environmental:16|root:Host-associated:1
family	Saccocirridae	root:Environmental:1
family	Saccotheciaceae	root:Engineered:1|root:Host-associated:8
family	Sagittidae	root:Environmental:9|root:Host-associated:1
family	Sagittiferidae	root:Environmental:2
family	Salinisphaeraceae	root:Environmental:7
family	Salinivirgaceae	root:Host-associated:1
family	Salpidae	root:Environmental:7|root:Host-associated:1
family	Salpingoecidae	root:Engineered:2|root:Environmental:16
family	Salviniaceae	root:Host-associated:1
family	Sandaracinaceae	root:Environmental:35|root:Host-associated:4
family	Sanguibacteraceae	root:Engineered:2|root:Host-associated:2
family	Saprospiraceae	root:Engineered:35|root:Environmental:114|root:Host-associated:20|root:Mixed:2
family	Sarcocystidae	root:Environmental:1|root:Host-associated:5
family	Sarcosomataceae	root:Host-associated:1
family	Sargassaceae	root:Environmental:1
family	Sarocladiaceae	root:Engineered:1
family	Scalibregmatidae	root:Environmental:1
family	Scelionidae	root:Host-associated:2
family	Scenedesmaceae	root:Environmental:5|root:Host-associated:1
family	Schizopathidae	root:Host-associated:1
family	Schizosaccharomycetaceae	root:Environmental:1
family	Schleiferiaceae	root:Environmental:2
family	Sclerotiniaceae	root:Environmental:1
family	Scolecitrichidae	root:Environmental:2
family	Scytonemataceae	root:Engineered:1|root:Environmental:1
family	Scytosiphonaceae	root:Environmental:1
family	Sebacinaceae	root:Environmental:1|root:Host-associated:3
family	Sediment-4	root:Environmental:1
family	Selaginellaceae	root:Engineered:1
family	Selenastraceae	root:Mixed:1
family	Selenidiidae	root:Environmental:1
family	Selenomonadaceae	root:Engineered:2|root:Environmental:3|root:Host-associated:43
family	Sellaphoraceae	root:Environmental:1
family	Serendipitaceae	root:Host-associated:1
family	Serpulidae	root:Environmental:1
family	Shewanellaceae	root:Engineered:10|root:Environmental:46|root:Host-associated:12
family	Sididae	root:Environmental:2
family	Siganidae	root:Environmental:1
family	Simkaniaceae	root:Environmental:10
family	Sinobacteraceae	root:Engineered:18|root:Environmental:138|root:Host-associated:36|root:Mixed:1
family	Siphonocladaceae	root:Host-associated:2
family	Siphonolaimidae	root:Environmental:1
family	Skeletonemataceae	root:Engineered:1|root:Environmental:23
family	Smarididae	root:Host-associated:1
family	Sneathiellaceae	root:Environmental:9|root:Host-associated:2
family	Solanaceae	root:Engineered:2|root:Environmental:4|root:Host-associated:4
family	Solibacteraceae	root:Environmental:100|root:Host-associated:14|root:Mixed:2
family	Solirubrobacteraceae	root:Engineered:4|root:Environmental:32|root:Host-associated:9|root:Mixed:2
family	Spathidiidae	root:Environmental:2|root:Host-associated:1
family	Spathulosporaceae	root:Environmental:1
family	Sphaerobacteraceae	root:Engineered:30|root:Environmental:2
family	Sphaerobolaceae	root:Host-associated:1
family	Sphaerochaetaceae	root:Engineered:5|root:Environmental:3|root:Host-associated:2
family	Sphaerocystidae	root:Environmental:1
family	Sphaerolaimidae	root:Environmental:2
family	Sphaerozoidae	root:Environmental:13
family	Sphenopidae	root:Host-associated:1
family	Sphingobacteriaceae	root:Engineered:26|root:Environmental:65|root:Host-associated:32|root:Mixed:1
family	Sphingomonadaceae	root:Engineered:61|root:Environmental:357|root:Host-associated:143|root:Mixed:13
family	Spionidae	root:Environmental:5|root:Host-associated:6
family	Spirastrellidae	root:Host-associated:1
family	Spirochaetaceae	root:Engineered:73|root:Environmental:116|root:Host-associated:127|root:Mixed:7
family	Spirodiniidae	root:Host-associated:1
family	Spiroplasmataceae	root:Host-associated:3
family	Spirulinaceae	root:Environmental:3
family	Spongiibacteraceae	root:Engineered:1|root:Environmental:25
family	Spongodiscidae	root:Environmental:8
family	Sporichthyaceae	root:Engineered:1|root:Environmental:42|root:Host-associated:1|root:Mixed:1
family	Sporidiobolaceae	root:Engineered:5|root:Environmental:6|root:Host-associated:1
family	Sporolactobacillaceae	root:Engineered:3|root:Environmental:4
family	Sporomusaceae	root:Engineered:1|root:Environmental:2|root:Host-associated:2
family	Stachybotryaceae	root:Environmental:1|root:Host-associated:1
family	Stainforthiidae	root:Environmental:3
family	Staphylococcaceae	root:Control:1|root:Engineered:54|root:Environmental:32|root:Host-associated:122|root:Mixed:6
family	Stauraconidae	root:Environmental:1
family	Stentoridae	root:Environmental:1
family	Stephanodiscaceae	root:Engineered:1|root:Environmental:9
family	Stephanoecidae	root:Environmental:13
family	Stereaceae	root:Environmental:2
family	Stereopsidaceae	root:Host-associated:1
family	Steroidobacteraceae	root:Environmental:3|root:Host-associated:2
family	Sterolibacteriaceae	root:Engineered:3|root:Environmental:14
family	Sticholonchidae	root:Environmental:4
family	Streptococcaceae	root:Engineered:98|root:Environmental:53|root:Host-associated:422|root:Mixed:9
family	Streptomycetaceae	root:Engineered:13|root:Environmental:45|root:Host-associated:59
family	Streptosporangiaceae	root:Engineered:5|root:Environmental:3|root:Host-associated:2
family	Strobilidiidae	root:Environmental:17
family	Strombidiidae	root:Environmental:48
family	Strombidinopsidae	root:Environmental:9
family	Styelidae	root:Environmental:2|root:Host-associated:1
family	Stygnopsidae	root:Engineered:1
family	Suberitidae	root:Environmental:1
family	Succinivibrionaceae	root:Environmental:3|root:Host-associated:41|root:Mixed:1
family	Suessiaceae	root:Environmental:5
family	Suillaceae	root:Host-associated:1
family	Sulfobacillaceae	root:Engineered:1|root:Environmental:3
family	Sulfolobaceae	root:Engineered:1|root:Environmental:9
family	Sutterellaceae	root:Engineered:1|root:Environmental:2|root:Host-associated:62
family	Syllidae	root:Environmental:5|root:Host-associated:1
family	Symbiobacteriaceae	root:Engineered:13|root:Environmental:4
family	Symbiodiniaceae	root:Environmental:3|root:Host-associated:3|root:Mixed:2
family	Symphyonemataceae	root:Environmental:2
family	Sympoventuriaceae	root:Environmental:3|root:Host-associated:2
family	Syncephalastraceae	root:Host-associated:2
family	Syndiniaceae	root:Environmental:1
family	Synechococcaceae	root:Engineered:5|root:Environmental:131|root:Host-associated:10
family	Synergistaceae	root:Engineered:33|root:Environmental:8|root:Host-associated:13|root:Mixed:2
family	Syntrophaceae	root:Engineered:59|root:Environmental:88|root:Host-associated:3|root:Mixed:1
